lat,vert,heading
0,0,0
0,0,0
0,0,0.000981805
0,0,360
0,0,359.998
0,1.2,359.998
0,2.4,4.26774e-05
0,3.6,4.15725e-05
0,3.6,4.15725e-05
0,9.6,360
0,9.6,360
0,16.8,0.0163239
0,16.8,0.0579065
0,16.8,0.156635
0,20.4,0.311967
0,24,0.529571
0,24,0.529571
0,31.2,1.20613
0,36,1.69248
0,36,1.69248
0,49.2,3.02489
0,49.2,3.02489
0.79,64.8,4.86835
0.79,64.8,4.86835
1.32,81.6,7.18809
1.32,81.6,7.18809
2.64,100.8,9.93001
2.64,110.4,11.4489
3.87,120,13.0656
3.87,130.8,14.7323
3.87,130.8,14.7323
4.93,141.6,16.4552
4.93,151.2,18.2305
6.24,170.4,21.8979
6.24,170.4,21.8979
8.44,189.6,25.6232
10.02,199.2,27.4951
10.02,206.4,29.3243
12.66,214.8,31.1202
12.66,222,32.9214
12.66,222,32.9214
14.51,236.4,36.4753
14.51,236.4,36.4753
16.35,242.4,38.1833
17.93,256.8,41.5476
17.93,264,43.1874
18.81,270,44.8186
18.81,278.4,46.3966
19.34,284.4,47.906
19.34,291.6,49.379
19.52,298.8,50.8253
19.52,298.8,50.8253
19.52,307.2,52.2582
19.52,321.6,54.9828
19.52,328.8,56.2688
19.52,336,57.5058
19.52,336,57.5058
19.6,343.2,58.7277
19.6,356.4,61.0988
19.6,363.6,62.2294
19.6,369.6,63.325
19.6,376.8,64.3729
19.6,384,65.4295
19.6,391.2,66.4701
19.6,398.4,67.4806
19.6,398.4,67.4806
19.6,408,69.4785
19.6,414,70.4638
19.6,420,71.4522
19.6,426,72.4423
19.6,426,72.4423
19.6,433.2,73.4354
19.6,446.4,75.4807
19.6,452.4,76.5251
19.6,458.4,77.5959
19.6,458.4,77.5959
19.6,474,79.801
19.6,482.4,80.954
19.69,489.6,82.1437
19.69,489.6,82.1437
19.69,504,84.6134
19.69,512.4,85.8874
20.04,520.8,87.1765
20.04,528,88.5108
20.22,535.2,89.8622
20.22,535.2,89.8622
20.57,552,92.637
20.57,552,92.637
20.75,568.8,95.4474
20.75,568.8,95.4474
21.45,583.2,98.3095
21.45,583.2,98.3095
21.8,597.6,101.24
