lat,vert,heading
371.6,-1348.8,119.168
371.6,-1356,117.893
376.96,-1363.2,116.601
381.36,-1377.6,114.029
381.36,-1377.6,114.029
386.63,-1393.2,111.48
386.63,-1400.4,110.203
393.66,-1407.6,108.921
393.66,-1414.8,107.622
399.72,-1422,106.302
399.72,-1422,106.302
399.72,-1429.2,104.975
406.67,-1436.4,103.655
412.29,-1453.2,101.037
412.29,-1453.2,101.037
418.27,-1467.6,98.3995
418.27,-1474.8,97.0547
424.86,-1482,95.7066
424.86,-1489.2,94.3566
430.57,-1497.6,92.9997
430.57,-1506,91.6437
436.46,-1513.2,90.2816
436.46,-1513.2,90.2816
436.46,-1519.2,88.907
442.44,-1534.8,86.2028
442.44,-1534.8,86.2028
448.06,-1549.2,83.5524
448.06,-1549.2,83.5524
453.07,-1555.2,82.2288
453.07,-1562.4,80.8991
458.17,-1569.6,79.5757
462.92,-1584,76.9371
462.92,-1591.2,75.6316
467.49,-1598.4,74.3345
467.49,-1604.4,73.0327
472.32,-1611.6,71.7262
472.32,-1618.8,70.4255
476.63,-1626,69.1324
476.63,-1633.2,67.8448
476.63,-1633.2,67.8448
482.17,-1646.4,65.2649
482.17,-1646.4,65.2649
487.79,-1653.6,63.9634
487.79,-1662,62.6707
493.33,-1669.2,61.3876
493.33,-1676.4,60.1025
499.83,-1690.8,57.5161
505.9,-1698,56.2101
505.9,-1698,56.2101
512.14,-1713.6,53.6206
512.14,-1713.6,53.6206
518.29,-1728,51.0098
518.29,-1728,51.0098
518.29,-1735.2,49.6912
523.21,-1750.8,47.0501
529.01,-1759.2,45.7352
534.72,-1766.4,44.4188
534.72,-1773.6,43.095
540.35,-1780.8,41.751
540.35,-1788,40.4023
540.35,-1788,40.4023
545.18,-1803.6,37.743
545.18,-1803.6,37.743
549.67,-1818,35.1182
554.94,-1825.2,33.8006
554.94,-1825.2,33.8006
554.94,-1832.4,32.4817
560.04,-1846.8,29.8563
564.87,-1854,28.5464
564.87,-1854,28.5464
571.2,-1867.2,25.9436
571.2,-1874.4,24.6407
577.44,-1881.6,23.343
577.44,-1888.8,22.0551
583.42,-1896,20.7712
583.42,-1902,19.4855
583.42,-1902,19.4855
590.18,-1916.4,16.9138
596.42,-1923.6,15.6413
596.42,-1930.8,14.3778
602.4,-1938,13.1142
602.4,-1945.2,11.8433
608.73,-1952.4,10.5611
608.73,-1958.4,9.26763
615.14,-1965.6,7.97534
615.14,-1972.8,6.68742
621.3,-1980,5.40109
621.3,-1980,5.40109
627.71,-1994.4,2.81103
627.71,-1994.4,2.81103
633.43,-2008.8,0.186767
633.43,-2008.8,0.186767
633.43,-2016,358.881
638.7,-2023.2,357.587
644.15,-2037.6,355.011
644.15,-2044.8,353.717
649.33,-2052,352.415
649.33,-2059.2,351.107
654.78,-2066.4,349.792
654.78,-2073.6,348.477
654.78,-2073.6,348.477
660.14,-2088,345.852
660.14,-2088,345.852
666.21,-2096.4,344.543
666.21,-2103.6,343.242
673.42,-2116.8,340.64
680.71,-2124,339.334
680.71,-2124,339.334
687.57,-2138.4,336.72
687.57,-2146.8,335.425
694.42,-2154,334.132
694.42,-2161.2,332.835
700.93,-2168.4,331.53
700.93,-2168.4,331.53
706.2,-2182.8,328.892
706.2,-2182.8,328.892
711.91,-2198.4,326.281
711.91,-2198.4,326.281
717.62,-2212.8,323.669
717.62,-2212.8,323.669
722.55,-2228.4,321.029
722.55,-2235.6,319.718
722.55,-2235.6,319.718
726.85,-2250,317.093
726.85,-2250,317.093
731.78,-2264.4,314.458
735.91,-2271.6,313.13
735.91,-2271.6,313.13
735.91,-2280,311.816
739.07,-2287.2,310.52
739.07,-2294.4,309.226
743.73,-2307.6,306.615
743.73,-2307.6,306.615
748.39,-2314.8,305.295
748.39,-2322,303.981
753.13,-2336.4,301.385
753.13,-2336.4,301.385
759.11,-2343.6,300.086
759.11,-2349.6,298.777
764.82,-2364,296.199
764.82,-2364,296.199
770.45,-2378.4,293.669
776.34,-2384.4,292.408
776.34,-2391.6,291.135
776.34,-2391.6,291.135
782.4,-2398.8,289.855
788.46,-2412,287.335
788.46,-2420.4,286.074
795.14,-2426.4,284.811
795.14,-2426.4,284.811
801.65,-2440.8,282.224
801.65,-2440.8,282.224
801.65,-2448,280.927
808.06,-2462.4,278.344
813.78,-2469.6,277.039
813.78,-2476.8,275.717
813.78,-2476.8,275.717
819.49,-2484,274.393
824.68,-2499.6,271.748
824.68,-2499.6,271.748
829.07,-2515.2,269.117
829.07,-2515.2,269.117
829.07,-2522.4,267.795
833.99,-2529.6,266.453
839.79,-2544,263.772
839.79,-2551.2,262.421
844.89,-2558.4,261.073
844.89,-2566.8,259.732
844.89,-2566.8,259.732
850.52,-2574,258.39
856.58,-2589.6,255.74
856.58,-2596.8,254.419
862.91,-2602.8,253.091
862.91,-2602.8,253.091
868.71,-2617.2,250.409
868.71,-2624.4,249.09
868.71,-2624.4,249.09
874.69,-2632.8,247.783
874.69,-2640,246.484
880.31,-2653.2,243.872
886.11,-2660.4,242.553
886.11,-2667.6,241.243
891.91,-2676,239.944
891.91,-2683.2,238.649
897.01,-2689.2,237.358
897.01,-2689.2,237.358
897.01,-2696.4,236.058
903.07,-2700,234.756
907.73,-2714.4,232.186
907.73,-2714.4,232.186
907.73,-2721.6,230.912
913.01,-2728.8,229.636
917.75,-2742,227.042
917.75,-2749.2,225.741
917.75,-2749.2,225.741
922.5,-2763.6,223.177
928.04,-2770.8,221.907
928.04,-2776.8,220.636
934.1,-2784,219.35
934.1,-2784,219.35
934.1,-2791.2,218.059
940.34,-2805.6,215.468
946.23,-2811.6,214.166
946.23,-2811.6,214.166
952.12,-2826,211.537
952.12,-2826,211.537
958.53,-2840.4,208.931
958.53,-2848.8,207.631
964.25,-2856,206.324
964.25,-2862,204.998
969.7,-2869.2,203.65
969.7,-2877.6,202.306
975.41,-2884.8,200.98
975.41,-2884.8,200.98
981.56,-2900.4,198.356
981.56,-2900.4,198.356
988.59,-2914.8,195.683
988.59,-2914.8,195.683
