lat,vert,heading
-370.64,1356,241.949
-376.44,1371.6,244.558
-376.44,1371.6,244.558
-381.36,1375.2,245.856
-381.36,1381.2,247.163
-386.98,1395.6,249.775
-392.52,1402.8,251.08
-392.52,1402.8,251.08
-398.06,1417.2,253.678
-398.06,1417.2,253.678
-403.77,1431.6,256.286
-403.77,1440,257.588
-403.77,1440,257.588
-408.78,1447.2,258.886
-408.78,1454.4,260.174
-414.32,1467.6,262.77
-414.32,1467.6,262.77
-419.33,1482,265.399
-423.9,1490.4,266.728
-423.9,1498.8,268.064
-428.56,1506,269.39
-428.56,1514.4,270.717
-433.3,1521.6,272.041
-433.3,1528.8,273.346
-437.87,1534.8,274.651
-437.87,1534.8,274.651
-442.97,1549.2,277.251
-442.97,1556.4,278.546
-442.97,1556.4,278.546
-447.98,1572,281.114
-454.31,1579.2,282.386
-454.31,1585.2,283.662
-460.2,1592.4,284.933
-460.2,1592.4,284.933
-465.56,1606.8,287.505
-465.56,1606.8,287.505
-465.56,1614,288.79
-471.18,1627.2,291.356
-471.18,1627.2,291.356
-477.25,1642.8,293.897
-477.25,1642.8,293.897
-483.66,1648.8,295.175
-489.55,1663.2,297.739
-489.55,1670.4,299.027
-495.09,1677.6,300.314
-495.09,1684.8,301.602
-500.71,1692,302.897
-500.71,1692,302.897
-500.71,1699.2,304.195
-506.25,1706.4,305.501
-506.25,1713.6,306.811
-511.44,1728,309.421
-511.44,1728,309.421
-517.5,1735.2,310.728
-517.5,1742.4,312.026
-523.04,1758,314.629
-528.31,1765.2,315.922
-528.31,1772.4,317.218
-533.59,1779.6,318.521
-533.59,1786.8,319.822
-533.59,1786.8,319.822
-539.12,1794,321.124
-539.12,1801.2,322.436
-544.4,1816.8,325.07
-544.4,1816.8,325.07
-549.85,1822.8,326.396
-555.47,1838.4,329.042
-555.47,1838.4,329.042
-560.83,1854,331.691
-560.83,1861.2,333.019
-565.84,1868.4,334.351
-565.84,1875.6,335.68
-570.94,1882.8,336.995
-570.94,1890,338.312
-575.77,1897.2,339.63
-575.77,1897.2,339.63
-581.49,1911.6,342.253
-581.49,1918.8,343.539
-581.49,1918.8,343.539
-586.14,1933.2,346.055
-591.24,1940.4,347.304
-591.24,1947.6,348.559
-596.25,1953.6,349.828
-596.25,1953.6,349.828
-596.25,1960.8,351.098
-600.47,1975.2,353.631
-600.47,1975.2,353.631
-604.95,1983.6,354.9
-610.14,1998,357.448
-610.14,2005.2,358.721
-614.97,2012.4,359.987
-614.97,2018.4,1.24995
-614.97,2018.4,1.24995
-619.1,2025.6,2.51232
-623.76,2040,5.05873
-623.76,2040,5.05873
-623.76,2047.2,6.3423
-628.77,2054.4,7.62136
-628.77,2060.4,8.90028
-633.69,2067.6,10.1841
-639.67,2074.8,11.458
