lat,vert,heading
483.57,-1368,116.288
488.23,-1375.2,114.937
488.23,-1375.2,114.937
492.54,-1390.8,112.293
492.54,-1390.8,112.293
492.54,-1398,110.998
497.46,-1411.2,108.401
497.46,-1411.2,108.401
502.56,-1425.6,105.819
508.18,-1432.8,104.54
508.18,-1441.2,103.267
508.18,-1441.2,103.267
514.78,-1454.4,100.698
520.93,-1461.6,99.3999
520.93,-1461.6,99.3999
520.93,-1468.8,98.1207
527.43,-1484.4,95.5727
527.43,-1484.4,95.5727
533.58,-1490.4,94.2954
533.58,-1497.6,93.0025
539.56,-1506,91.6993
544.83,-1520.4,89.1041
544.83,-1520.4,89.1041
544.83,-1527.6,87.8034
550.99,-1542,85.1876
556.96,-1549.2,83.8603
556.96,-1556.4,82.5359
562.41,-1563.6,81.2197
562.41,-1570.8,79.9096
567.77,-1578,78.5994
567.77,-1578,78.5994
567.77,-1584,77.2843
573.22,-1598.4,74.6518
578.32,-1606.8,73.3395
578.32,-1612.8,72.0298
583.42,-1620,70.7234
583.42,-1620,70.7234
587.81,-1634.4,68.1122
587.81,-1641.6,66.8248
592.38,-1648.8,65.5453
592.38,-1656,64.2677
592.38,-1656,64.2677
597.66,-1669.2,61.6854
603.63,-1676.4,60.3781
603.63,-1683.6,59.077
609.43,-1690.8,57.7942
609.43,-1699.2,56.5162
616.2,-1705.2,55.2284
616.2,-1712.4,53.9304
622.88,-1719.6,52.6263
622.88,-1726.8,51.3298
622.88,-1726.8,51.3298
629.21,-1741.2,48.7562
629.21,-1741.2,48.7562
635.71,-1748.4,47.4673
635.71,-1755.6,46.1604
641.43,-1770,43.5045
646.52,-1777.2,42.1859
646.52,-1785.6,40.8788
646.52,-1785.6,40.8788
651.45,-1792.8,39.5723
651.45,-1800,38.2608
657.95,-1807.2,36.9314
664.01,-1821.6,34.2258
664.01,-1821.6,34.2258
669.02,-1836,31.5003
669.02,-1836,31.5003
672.71,-1851.6,28.8336
672.71,-1858.8,27.5119
672.71,-1858.8,27.5119
677.2,-1874.4,24.8963
681.68,-1880.4,23.5965
681.68,-1887.6,22.2951
686.16,-1894.8,20.9976
686.16,-1902,19.7197
691.35,-1909.2,18.4629
691.35,-1916.4,17.2248
691.35,-1916.4,17.2248
697.85,-1923.6,15.9882
703.74,-1938,13.4975
703.74,-1944,12.2415
709.72,-1951.2,10.9845
709.72,-1958.4,9.72674
709.72,-1958.4,9.72674
715.34,-1971.6,7.1974
720.79,-1978.8,5.92345
720.79,-1978.8,5.92345
720.79,-1986,4.65353
726.5,-2000.4,2.14654
726.5,-2000.4,2.14654
