lat,vert,heading
0,0,0
0,0,0.00244287
0,0,0.00244287
0,0,0.00352722
0,0,0.00325435
0,1.2,0.00353169
0,1.2,0.00353169
0,3.6,0.00348506
0,3.6,0.00348506
0,9.6,0.0060209
0,9.6,0.0060209
0,13.2,0.00715726
0,19.2,0.0531038
0,21.6,0.12873
0,21.6,0.12873
0,25.2,0.5041
0,28.8,0.825185
0.17,33.6,1.24832
0.17,38.4,1.78266
0.17,38.4,1.78266
0.88,44.4,2.43277
0.88,50.4,3.19165
2.28,56.4,4.06915
3.51,72,6.22959
3.51,81.6,7.48331
4.57,91.2,8.85787
4.57,91.2,8.85787
4.57,98.4,10.325
6.68,108,11.8794
6.68,118.8,13.5573
8.7,139.2,17.0972
11.34,147.6,18.9395
11.34,147.6,18.9395
14.41,166.8,22.7105
14.41,176.4,24.6585
17.31,186,26.5874
17.31,195.6,28.4841
20.39,204,30.372
20.39,212.4,32.2163
20.39,212.4,32.2163
25.4,228,35.875
25.4,228,35.875
27.6,242.4,39.5185
31.02,249.6,41.1932
31.02,256.8,42.8328
35.77,264,44.478
35.77,264,44.478
37.09,278.4,47.756
37.09,285.6,49.2556
37.09,285.6,49.2556
40.52,291.6,50.7258
41.57,306,53.6309
41.57,313.2,55.0398
44.21,320.4,56.352
44.21,328.8,57.615
46.32,336,58.8764
46.32,343.2,60.1111
46.32,343.2,60.1111
48.78,357.6,62.4954
48.78,357.6,62.4954
50.71,370.8,64.758
50.71,370.8,64.758
52.29,384,66.9636
54.4,391.2,68.0457
54.4,396,69.0878
56.78,400.8,70.1355
56.78,400.8,70.1355
58.18,412.8,72.2002
58.18,420,73.2285
58.18,420,73.2285
60.2,426,74.2658
60.2,434.4,75.3046
62.66,439.2,76.3455
62.66,445.2,77.4078
64.51,451.2,78.4921
67.06,465.6,80.6902
67.06,474,81.8283
67.06,474,81.8283
69.34,489.6,84.1832
69.34,489.6,84.1832
71.81,495.6,85.4011
74.09,511.2,87.9269
74.09,520.8,89.2247
74.09,520.8,89.2247
77.61,528,90.5486
81.03,543.6,93.2282
81.03,552,94.6012
81.03,552,94.6012
84.37,571.2,97.4336
88.15,578.4,98.8444
88.15,578.4,98.8444
88.15,585.6,100.272
91.67,592.8,101.73
95.1,608.4,104.655
95.1,616.8,106.112
95.1,616.8,106.112
99.05,624,107.556
99.05,631.2,109.009
102.92,645.6,111.887
107.05,652.8,113.336
107.05,660,114.757
110.3,667.2,116.153
110.3,673.2,117.54
110.3,673.2,117.54
114.26,686.4,120.297
118.21,693.6,121.654
118.21,700.8,122.995
121.55,705.6,124.321
121.55,712.8,125.644
124.01,720,126.956
124.01,720,126.956
126.65,733.2,129.547
126.65,733.2,129.547
127.53,746.4,132.098
127.53,746.4,132.098
129.02,759.6,134.624
129.02,766.8,135.868
131.13,774,137.109
131.13,781.2,138.345
133.24,788.4,139.593
133.24,795.6,140.837
136.23,802.8,142.088
136.23,811.2,143.361
136.23,811.2,143.361
138.87,825.6,145.897
142.21,834,147.169
142.21,841.2,148.472
145.37,849.6,149.774
145.37,856.8,151.062
145.37,856.8,151.062
148.71,873.6,153.653
151.26,880.8,154.984
151.26,880.8,154.984
154.33,888,156.317
157.59,902.4,159.01
157.59,910.8,160.358
157.59,910.8,160.358
160.93,924,163.107
164,931.2,164.487
164,938.4,165.87
166.99,945.6,167.241
166.99,952.8,168.614
171.03,960,170.008
171.03,960,170.008
175.34,973.2,172.75
175.34,980.4,174.106
179.21,987.6,175.466
179.21,994.8,176.834
179.21,994.8,176.834
183.34,1000.8,178.201
183.34,1008,179.546
186.41,1021.2,182.26
190.81,1028.4,183.59
190.81,1034.4,184.916
194.06,1041.6,186.24
194.06,1041.6,186.24
194.06,1048.8,187.571
196.79,1054.8,188.897
196.79,1062,190.214
199.51,1069.2,191.532
199.51,1076.4,192.841
202.5,1083.6,194.13
202.5,1089.6,195.424
204.87,1104,198.016
204.87,1104,198.016
207.95,1118.4,200.596
211.73,1125.6,201.864
211.73,1132.8,203.157
214.1,1140,204.472
214.1,1147.2,205.765
214.1,1147.2,205.765
215.42,1162.8,208.377
217.53,1170,209.697
217.53,1170,209.697
219.64,1185.6,212.392
219.64,1185.6,212.392
221.22,1200,215.055
221.22,1207.2,216.412
224.12,1215.6,217.769
224.12,1215.6,217.769
224.12,1224,219.137
227.37,1238.4,221.842
230.8,1245.6,223.204
230.8,1254,224.55
230.8,1254,224.55
234.14,1269.6,227.271
238.09,1275.6,228.62
238.09,1282.8,229.965
241.96,1290,231.294
241.96,1298.4,232.627
246,1305.6,233.953
246,1312.8,235.276
246,1312.8,235.276
249.96,1324.8,237.939
249.96,1324.8,237.939
253.83,1332,239.283
253.83,1340.4,240.577
257.52,1348.8,241.872
257.52,1354.8,243.193
261.82,1368,245.807
264.9,1375.2,247.128
264.9,1375.2,247.128
264.9,1382.4,248.413
268.24,1388.4,249.69
268.24,1395.6,250.966
272.37,1401.6,252.23
275.62,1416,254.797
275.62,1423.2,256.062
279.93,1429.2,257.314
279.93,1436.4,258.553
283.27,1443.6,259.795
283.27,1443.6,259.795
286.7,1456.8,262.356
286.7,1456.8,262.356
286.7,1464,263.632
291,1472.4,264.9
291,1479.6,266.17
294.08,1494,267.452
294.08,1494,267.452
298.04,1509.6,272.631
302.34,1516.8,273.912
302.34,1524,275.214
305.77,1531.2,276.538
305.77,1531.2,276.538
309.2,1545.6,279.158
309.2,1552.8,280.455
313.42,1560,281.759
313.42,1567.2,283.06
317.02,1574.4,284.372
317.02,1581.6,285.691
317.02,1581.6,285.691
320.27,1594.8,288.332
324.67,1603.2,289.655
324.67,1603.2,289.655
328.09,1617.6,292.32
328.09,1617.6,292.32
328.09,1624.8,293.671
331.43,1639.2,296.34
335.65,1646.4,297.677
335.65,1646.4,297.677
339.34,1660.8,300.399
339.34,1668,301.777
342.95,1676.4,303.156
342.95,1683.6,304.534
347.61,1692,305.904
347.61,1692,305.904
347.61,1699.2,307.281
351.56,1713.6,310.037
354.64,1720.8,311.423
354.64,1728,312.791
354.64,1728,312.791
358.77,1742.4,315.532
362.28,1749.6,316.892
362.28,1749.6,316.892
365.8,1764,319.61
365.8,1764,319.61
369.75,1779.6,322.29
369.75,1790.4,323.623
369.75,1790.4,323.623
373.71,1797.6,324.952
373.71,1803.6,326.289
376.79,1810.8,327.592
376.79,1818,328.88
380.57,1825.2,330.174
384.34,1838.4,332.745
384.34,1845.6,334.023
387.42,1851.6,335.298
387.42,1858.8,336.554
387.42,1858.8,336.554
391.55,1873.2,339.064
391.55,1873.2,339.064
395.77,1886.4,341.549
395.77,1886.4,341.549
400.08,1899.6,344.016
400.08,1899.6,344.016
402.89,1914,346.481
406.4,1921.2,347.699
406.4,1927.2,348.933
410.18,1934.4,350.185
410.18,1941.6,351.442
413.7,1948.8,352.689
413.7,1956,353.94
418.09,1963.2,355.215
418.09,1970.4,356.476
418.09,1970.4,356.476
422.4,1984.8,359.05
425.65,1992,0.341515
425.65,1999.2,1.65799
425.65,1999.2,1.65799
428.73,2016,4.31562
432.95,2023.2,5.64398
432.95,2030.4,7.00493
436.2,2037.6,8.35922
436.2,2046,9.72777
440.07,2053.2,11.097
440.07,2053.2,11.097
440.07,2060.4,12.4454
443.93,2074.8,15.1991
446.31,2083.2,16.5971
446.31,2083.2,16.5971
446.31,2090.4,17.9883
449.3,2097.6,19.3482
452.9,2110.8,22.0793
452.9,2119.2,23.4343
455.98,2126.4,24.767
455.98,2126.4,24.767
455.98,2133.6,26.1259
460.02,2146.8,28.8009
460.02,2146.8,28.8009
463.18,2154,30.1587
463.18,2161.2,31.4826
466.52,2174.4,34.1147
466.52,2174.4,34.1147
470.21,2188.8,36.7521
