lat,vert,heading
0,0,0
0,0,0
0,0,0.00027911
0,0,0.000191809
0,0,0.000191809
0,0,359.998
0,0,0.000614168
0,0,0.000614168
0,2.4,0.00110412
0,4.8,0.000689024
0,7.2,359.999
0,16.8,0.00327393
0,20.4,0.0160415
0,20.4,0.0817104
0,21.6,0.213469
0,24,0.437333
0,24,0.437333
0,26.4,0.757671
0,28.8,1.17138
0,33.6,1.68171
0,45.6,3.01632
0,45.6,3.01632
0,63.6,4.82538
0,63.6,4.82538
-0.09,78,7.15013
-0.09,86.4,8.48344
-0.09,96,9.94058
-0.09,108,11.4481
-0.09,120,13.0379
-0.09,120,13.0379
-0.09,136.8,16.4272
-0.09,136.8,16.4272
-0.09,157.2,20.0139
-0.09,157.2,20.0139
0.09,175.2,23.6393
0.09,184.8,25.5032
0.62,194.4,27.3477
0.62,194.4,27.3477
1.5,213.6,31.0179
1.5,213.6,31.0179
3.43,229.2,34.597
3.43,240,36.3556
4.48,247.2,38.1203
4.48,254.4,39.8488
4.48,254.4,39.8488
6.51,260.4,41.5182
6.51,267.6,43.141
8.09,280.8,46.3581
10.11,288,47.8923
10.11,295.2,49.3845
11.34,302.4,50.8315
11.34,309.6,52.2477
13.19,316.8,53.6578
13.19,324,55.0151
14.86,331.2,56.3267
14.86,338.4,57.6008
16.26,345.6,58.8358
16.26,345.6,58.8358
17.49,360,61.1966
17.49,367.2,62.3474
18.72,374.4,63.4697
18.72,374.4,63.4697
19.25,388.8,65.6048
19.25,396,66.6357
20.39,402,67.6394
20.39,402,67.6394
20.39,406.8,68.6195
21.45,411.6,69.5918
21.45,417.6,70.5622
21.62,423.6,71.5089
21.8,434.4,73.4129
21.8,440.4,74.3643
21.8,440.4,74.3643
23.12,453.6,76.3425
23.12,453.6,76.3425
24.52,465.6,78.4163
24.52,465.6,78.4163
26.37,480,80.6102
26.37,480,80.6102
28.65,494.4,82.9573
31.73,502.8,84.1859
31.73,510,85.4592
34.89,517.2,86.7587
34.89,517.2,86.7587
34.89,525.6,88.107
37.44,542.4,90.873
37.44,542.4,90.873
42.01,549.6,92.3176
44.83,558,93.8005
44.83,566.4,95.3145
48.08,573.6,96.8571
48.08,583.2,98.3985
