lat,vert,heading
386.8,-1362,118.387
386.8,-1362,118.387
392.6,-1375.2,115.784
392.6,-1375.2,115.784
399.46,-1382.4,114.473
399.46,-1389.6,113.16
405.26,-1405.2,110.544
405.26,-1405.2,110.544
412.2,-1419.6,107.953
419.41,-1426.8,106.655
419.41,-1434,105.352
424.77,-1441.2,104.046
424.77,-1449.6,102.74
424.77,-1449.6,102.74
431.01,-1462.8,100.13
431.01,-1462.8,100.13
438.83,-1470,98.829
438.83,-1478.4,97.5289
444.64,-1494,94.9054
450.7,-1501.2,93.594
450.7,-1508.4,92.278
456.76,-1515.6,90.9529
456.76,-1522.8,89.6275
462.21,-1530,88.2964
462.21,-1530,88.2964
462.21,-1537.2,86.9665
467.22,-1551.6,84.3313
467.22,-1551.6,84.3313
474.08,-1566,81.6971
474.08,-1566,81.6971
480.14,-1580.4,79.0389
480.14,-1580.4,79.0389
486.65,-1594.8,76.3721
486.65,-1594.8,76.3721
493.15,-1609.2,73.7242
493.15,-1609.2,73.7242
498.95,-1624.8,71.0824
498.95,-1624.8,71.0824
505.28,-1638,68.4395
512.58,-1645.2,67.1215
512.58,-1652.4,65.8048
518.99,-1659.6,64.485
518.99,-1666.8,63.1708
518.99,-1666.8,63.1708
525.5,-1674,61.8578
532.61,-1687.2,59.2503
532.61,-1694.4,57.9505
532.61,-1694.4,57.9505
537.98,-1708.8,55.3385
543.34,-1716,54.0427
543.34,-1723.2,52.7503
549.05,-1730.4,51.4615
549.05,-1737.6,50.174
554.06,-1746,48.8837
554.06,-1753.2,47.5937
559.68,-1760.4,46.3121
559.68,-1760.4,46.3121
566.19,-1773.6,43.7444
566.19,-1782,42.4591
571.9,-1789.2,41.1676
571.9,-1796.4,39.8697
578.32,-1803.6,38.5771
578.32,-1803.6,38.5771
578.32,-1810.8,37.286
584.82,-1825.2,34.6875
591.15,-1832.4,33.3812
591.15,-1839.6,32.0639
591.15,-1839.6,32.0639
597.3,-1854,29.4284
603.28,-1861.2,28.1154
603.28,-1861.2,28.1154
603.28,-1868.4,26.8041
609.25,-1884,24.2194
609.25,-1884,24.2194
615.14,-1890,22.9397
615.14,-1897.2,21.6617
621.74,-1904.4,20.3925
627.1,-1918.8,17.8409
627.1,-1927.2,16.5493
632.81,-1934.4,15.2554
632.81,-1934.4,15.2554
638.26,-1948.8,12.6481
638.26,-1948.8,12.6481
643.09,-1963.2,10.0358
643.09,-1970.4,7.41776
648.1,-1977.6,6.11814
648.1,-1984.8,4.81359
648.1,-1984.8,4.81359
654.25,-1998,2.20838
660.41,-2005.2,0.896316
660.41,-2012.4,359.585
666.38,-2019.6,358.277
666.38,-2025.6,356.975
672.8,-2032.8,355.671
672.8,-2032.8,355.671
672.8,-2040,354.366
678.6,-2047.2,353.049
678.6,-2055.6,351.726
683.96,-2068.8,349.084
683.96,-2068.8,349.084
689.94,-2076,347.77
695.74,-2092.8,345.131
695.74,-2100,343.805
701.72,-2107.2,342.478
701.72,-2114.4,341.152
708.13,-2121.6,339.833
708.13,-2128.8,338.511
712.88,-2136,337.191
712.88,-2144.4,335.88
712.88,-2144.4,335.88
717.45,-2157.6,333.296
722.46,-2166,332.016
722.46,-2173.2,330.739
722.46,-2173.2,330.739
726.76,-2180.4,329.459
730.63,-2194.8,326.903
730.63,-2202,325.632
730.63,-2202,325.632
735.03,-2216.4,323.106
739.86,-2222.4,321.838
739.86,-2230.8,320.573
745.22,-2236.8,319.309
745.22,-2244,318.036
750.58,-2251.2,316.755
750.58,-2258.4,315.472
756.03,-2265.6,314.19
760.69,-2272.8,312.909
760.69,-2280,311.625
766.05,-2286,310.332
766.05,-2292,309.033
771.85,-2299.2,307.734
771.85,-2306.4,306.429
777.21,-2313.6,305.116
777.21,-2313.6,305.116
777.21,-2320.8,303.801
782.58,-2335.2,301.149
787.58,-2342.4,299.816
787.58,-2342.4,299.816
792.51,-2358,297.164
792.51,-2365.2,295.842
798.4,-2372.4,294.532
798.4,-2372.4,294.532
803.49,-2386.8,291.911
803.49,-2395.2,290.599
807.71,-2402.4,289.291
807.71,-2409.6,287.987
807.71,-2409.6,287.987
812.99,-2416.8,286.684
817.47,-2431.2,284.073
817.47,-2438.4,282.767
817.47,-2438.4,282.767
821.07,-2454,280.149
821.07,-2454,280.149
825.82,-2460,278.847
825.82,-2467.2,277.536
831.88,-2481.6,274.906
837.07,-2490,273.583
837.07,-2490,273.583
837.07,-2497.2,272.263
842.17,-2511.6,269.637
842.17,-2511.6,269.637
848.23,-2518.8,268.322
853.5,-2533.2,265.668
853.5,-2540.4,264.342
853.5,-2540.4,264.342
858.34,-2554.8,261.708
863.7,-2560.8,260.399
863.7,-2560.8,260.399
869.32,-2575.2,257.776
869.32,-2582.4,256.47
869.32,-2582.4,256.47
875.12,-2596.8,253.859
881.19,-2604,252.556
881.19,-2604,252.556
881.19,-2611.2,251.251
886.46,-2625.6,248.642
886.46,-2625.6,248.642
891.82,-2632.8,247.351
891.82,-2640,246.064
897.36,-2647.2,244.778
897.36,-2653.2,243.495
902.28,-2660.4,242.202
902.28,-2668.8,240.909
907.29,-2674.8,239.624
907.29,-2682,238.348
912.04,-2696.4,235.8
916.52,-2703.6,234.522
916.52,-2710.8,233.24
922.23,-2718,231.956
922.23,-2718,231.956
928.12,-2731.2,229.367
928.12,-2731.2,229.367
933.48,-2746.8,226.764
933.48,-2746.8,226.764
933.48,-2754,225.468
939.46,-2768.4,222.88
939.46,-2768.4,222.88
946.32,-2775.6,221.568
952.82,-2790,218.884
952.82,-2797.2,217.523
958.8,-2804.4,216.169
958.8,-2804.4,216.169
958.8,-2811.6,214.829
964.25,-2818.8,213.494
969.25,-2834.4,210.832
969.25,-2841.6,209.505
975.58,-2848.8,208.178
975.58,-2848.8,208.178
981.56,-2863.2,205.533
981.56,-2863.2,205.533
986.39,-2877.6,202.902
986.39,-2886,201.589
991.14,-2893.2,200.281
991.14,-2900.4,198.969
996.33,-2907.6,197.657
996.33,-2914.8,196.349
996.33,-2914.8,196.349
1000.63,-2930.4,193.744
1000.63,-2930.4,193.744
1005.47,-2944.8,191.148
1011.27,-2950.8,189.84
1011.27,-2958,188.525
1011.27,-2958,188.525
1016.63,-2972.4,185.901
1021.73,-2979.6,184.592
1021.73,-2979.6,184.592
1027.97,-2992.8,181.995
1027.97,-3000,180.696
1034.21,-3007.2,179.393
1034.21,-3007.2,179.393
1034.21,-3014.4,178.088
1039.74,-3028.8,175.492
1045.72,-3034.8,174.19
1045.72,-3042,172.886
1051.34,-3050.4,171.578
1051.34,-3050.4,171.578
1056.97,-3064.8,168.962
1056.97,-3064.8,168.962
1063.12,-3079.2,166.339
1063.12,-3086.4,165.016
1063.12,-3086.4,165.016
1068.48,-3093.6,163.69
1073.49,-3109.2,161.048
1073.49,-3116.4,159.742
1073.49,-3116.4,159.742
1078.42,-3129.6,157.12
1083.25,-3136.8,155.814
1083.25,-3145.2,154.503
1083.25,-3145.2,154.503
1087.56,-3159.6,151.889
1091.86,-3166.8,150.585
1091.86,-3166.8,150.585
1096.34,-3181.2,147.968
1096.34,-3188.4,146.663
1100.21,-3195.6,145.357
1100.21,-3195.6,145.357
1105.57,-3208.8,142.762
1105.57,-3216,141.461
1105.57,-3216,141.461
1111.2,-3231.6,138.866
1116.82,-3237.6,137.56
1116.82,-3237.6,137.56
1116.82,-3244.8,136.252
1123.15,-3259.2,133.633
1130.71,-3266.4,132.313
1130.71,-3273.6,130.988
1136.69,-3280.8,129.665
1136.69,-3288,128.348
1136.69,-3288,128.348
1141.61,-3295.2,127.034
1141.61,-3302.4,125.723
1147.5,-3309.6,124.415
1153.47,-3325.2,121.784
1153.47,-3332.4,120.468
1160.24,-3339.6,119.158
1160.24,-3339.6,119.158
1165.25,-3355.2,116.564
1165.25,-3362.4,115.275
1170.44,-3369.6,113.988
1170.44,-3376.8,112.7
1170.44,-3376.8,112.7
1176.24,-3391.2,110.108
1180.81,-3398.4,108.811
1180.81,-3405.6,107.509
