lat,vert,heading
0,0,0
0,0,0
0,0,0.000502386
0,0,0.00296626
0,0,0.00601781
0,0,0.00601781
0,0,0.00317238
0,2.4,0.00220074
0,2.4,0.00220074
0,8.4,0.00185961
0,13.2,0.00352822
0,13.2,0.00352822
0,20.4,0.0270203
0,20.4,0.0902217
0,20.4,0.0902217
0,22.8,0.212753
0,27.6,0.67162
0,27.6,0.67162
0.08,36,1.43775
0.08,36,1.43775
0.7,46.8,2.63314
0.7,54,3.42987
2.46,61.2,4.34099
2.46,61.2,4.34099
4.57,75.6,6.5236
4.57,75.6,6.5236
4.57,85.2,7.77934
7.56,104.4,10.6308
10.19,111.6,12.172
10.19,121.2,13.8124
10.19,121.2,13.8124
13.8,133.2,15.5129
16.17,152.4,19.0276
16.17,162,20.8454
16.17,162,20.8454
20.56,183.6,24.532
22.58,193.2,26.3725
22.58,193.2,26.3725
22.58,201.6,28.2077
26.54,210,30.0364
28.12,226.8,33.6189
28.12,234,35.3845
29.7,242.4,37.1231
29.7,249.6,38.8196
32.96,256.8,40.4816
32.96,262.8,42.122
34.54,270,43.752
34.54,270,43.752
35.94,284.4,46.8506
35.94,291.6,48.3526
35.94,291.6,48.3526
36.82,306,51.2461
37.61,313.2,52.6782
37.61,313.2,52.6782
38.58,327.6,55.3865
38.58,327.6,55.3865
39.28,342,57.9469
39.28,342,57.9469
40.95,356.4,60.4025
40.95,363.6,61.5919
41.83,370.8,62.7452
41.83,370.8,62.7452
41.83,376.8,63.8725
43.41,388.8,66.075
43.41,388.8,66.075
45.96,400.8,68.1984
47.9,406.8,69.2591
47.9,411.6,70.3161
50.09,417.6,71.3639
50.09,417.6,71.3639
52.38,430.8,73.4787
52.38,436.8,74.5445
52.38,436.8,74.5445
55.1,444,75.6287
58,456,77.8132
58,456,77.8132
60.11,469.2,80.0773
60.11,476.4,81.2275
62.93,484.8,82.3761
62.93,484.8,82.3761
64.68,499.2,84.8071
64.68,499.2,84.8071
64.68,505.2,86.0419
67.41,522,88.5597
69.34,530.4,89.8401
69.34,530.4,89.8401
69.34,537.6,91.1566
70.66,552,93.8438
70.66,552,93.8438
73.74,567.6,96.5575
73.74,567.6,96.5575
