lat,vert,heading
0,0,0
0,0,0
0,0,0.00259607
0,0,360
0,0,360
0,0,0.00156841
0,1.2,0.00174284
0,2.4,360
0,2.4,360
0,8.4,0.000828991
0,8.4,0.000828991
0,16.8,0.0345784
0,16.8,0.0345784
0,21.6,0.0804851
0,24,0.171776
0,31.2,0.517188
0,31.2,0.517188
0,38.4,0.803315
0,49.2,1.67459
0,49.2,1.67459
0,52.8,2.27747
0,63.6,3.84548
0,69.6,4.80549
0,76.8,5.90292
0,84,7.11415
0,84,7.11415
0,100.8,9.84531
0,100.8,9.84531
0,118.8,12.8908
0,118.8,12.8908
0,127.2,14.5424
0,136.8,18.002
0.53,156,21.5881
0.53,156,21.5881
1.06,174,25.227
3.25,183.6,27.0185
3.25,193.2,28.7982
3.25,193.2,28.7982
3.78,211.2,32.3656
5.1,219.6,34.0542
5.1,219.6,34.0542
7.12,235.2,37.4183
7.12,242.4,39.0797
7.3,249.6,40.6854
7.3,256.8,42.2266
8.35,264,43.7657
8.35,264,43.7657
9.05,278.4,46.7829
9.05,285.6,48.2291
9.05,292.8,49.6348
9.05,298.8,50.9689
10.64,306,52.2944
10.64,313.2,53.5909
10.99,320.4,54.8593
10.99,320.4,54.8593
10.99,327.6,56.1219
11.25,342,58.5459
12.31,349.2,59.6972
12.31,357.6,60.8233
13.19,364.8,61.9166
13.19,372,62.9954
13.89,379.2,64.0701
13.89,386.4,65.1247
13.89,392.4,66.1311
13.89,399.6,67.1015
15.56,406.8,68.0693
15.56,412.8,69.0313
15.91,420,69.9887
15.91,424.8,70.9688
16.09,429.6,71.964
16.09,429.6,71.964
17.32,442.8,73.9799
17.32,450,75.0209
18.46,456,76.1156
18.46,463.2,77.236
18.46,463.2,77.236
18.46,475.2,79.5671
18.46,482.4,80.7964
18.46,489.6,82.0751
18.46,489.6,82.0751
19.43,506.4,84.7295
19.43,506.4,84.7295
20.74,520.8,87.5158
20.74,520.8,87.5158
22.24,536.4,90.3661
24.08,544.8,91.8496
24.08,544.8,91.8496
24.87,561.6,94.8393
24.87,568.8,96.3394
26.02,576,97.8367
26.02,583.2,99.3514
26.02,583.2,99.3514
27.51,591.6,100.857
28.65,607.2,103.857
